Brightness	Voltage
0	5.09
1	5.08
2	5.073
3	5.064
4	5.056
5	5.048
6	5.040
7	5.030
8	5.022
9	5.015
10	5.006
11	4.998
12	4.990
13	4.981
14	4.975
15	4.967
16	4.960
17	4.950
18	4.943
19	4.934
20	4.927
21	4.918
22	4.911
23	4.903
24	4.896
25	4.888
26	4.880
27	4.872
28	4.865
29	4.857
30	4.850
31	4.843
32	4.835
33	4.828
34	4.820
35	4.813
36	4.805
37	4.797
38	4.791
39	4.784
40	4.777
41	4.768
42	4.761
43	4.755
44	4.748
45	4.740
46	4.734
47	4.726
48	4.719
49	4.711
50	4.705
51	4.698
52	4.692
53	4.684
54	4.678
55	4.670
56	4.664
57	4.657
58	4.650
59	4.643
60	4.637
61	4.630
62	4.625
63	4.618
64	4.612
65	4.605
66	4.597
67	4.591
68	4.584
69	4.582
70	4.576
71	4.570
72	4.564
73	4.557
74	4.551
75	4.545
76	4.540
77	4.533
78	4.527
79	4.521
80	4.516
81	4.506
82	4.499
83	4.493
84	4.487
85	4.481
86	4.476
87	4.469
88	4.464
89	4.459
90	4.453
91	4.448
92	4.443
93	4.438
94	4.431
95	4.426
96	4.422
97	4.415
98	4.410
99	4.406
100	4.401
101	4.395
102	4.391
103	4.385
104	4.381
105	4.375
106	4.371
107	4.366
108	4.361
109	4.356
110	4.352
111	4.346
112	4.341
113	4.337
114	4.333
115	4.328
116	4.324
117	4.320
118	4.316
119	4.312
120	4.307
121	4.303
122	4.297
123	4.293
124	4.289
125	4.285
126	4.281
127	4.277
128	4.271
129	4.266
130	4.262
131	4.258
132	4.254
133	4.250
134	4.245 
135	4.240
136	4.236
137	4.232
138	4.228
139	4.224
140	4.220
141	4.216
142	4.211
143	4.207
144	4.203
145	4.199
146	4.196
147	4.192
148	4.188
149	4.183
150	4.180
151	4.176
152	4.172
153	4.168
154	4.164
155	4.160
156	4.157
157	4.153
158	4.150
159	4.146
160	4.141
161	4.137
162	4.134
163	4.130
164	4.127
165	4.124
166	4.120
167	4.117
168	4.113
169	4.109
170	4.106
171	4.103
172	4.099
173	4.096
174	4.092
175	4.089
176	4.085
177	4.082
178	4.079
179	4.076
180	4.072
181	4.068
182	4.065
183	4.061
184	4.058
185	4.055
186	4.052
187	4.048
188	4.045
189	4.042
190	4.037
191	4.033       red light went off a little before here
192	4.031
193	4.029
194	4.027
195	4.025
196	4.022
197	4.019
198	4.016
199	4.013
200	4.010
201	4.006
202	4.003
203	4.000
204	3.997
205	3.993
206	3.990
207	3.987
208	3.984
209	3.980
210	3.977
211	3.974
212	3.970
213	3.967
214	3.964
215	3.961
216	3.956
217	3.954
218	3.951
219	3.949
220	3.946
221	3.943
222	3.941
223	3.937
224	3.935
225	3.932
226	3.929
227	3.925
228	3.923
229	3.920
230	3.917
231	3.915
232	3.912
233	3.909
234	3.907
235	3.904
236	3.901
237	3.898
238	3.896
239	3.893
240	3.889
241	3.885
242	3.884
243	3.881
244	3.879
245	3.876
246	3.874
247	3.872
248	3.869
249	3.867
250	3.864
251	3.861
252	3.859
253	3.857
254	3.854
255	3.848
